enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean
2022_26,slope7_success,1950,2,95,-0.0014299194131151699,-7.7285955254614755,-0.0017723072527645804,-0.0017723072527644785,9.984981037012858,0.1374991435751177,,,,,,,0.0,94.0,47.0,-8.226676329569402,-7.292337137557081,-7.8118939668303575
2022_26,slope7_lm_invalid_params,1950,2,95,-0.0014299194131151699,-7.747395673843643,-0.000560580629219431,0.24903306371895864,-9709.417023143202,,invalid parameters from LM slope7 fit,,,,,,0.0,94.0,47.0,-8.226676329569402,-7.292337137557081,-7.8118939668303575
2022_26,linear,1950,3,91,0.00214596284890032,-8.285511323330223,,,,0.11603633114117236,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-8.616818623494035,-8.024813056388304,-8.29292314606067
2022_26,linear,1960,0,91,-0.0012882155848125507,-8.680944751007447,,,,0.1819847721172326,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-9.28759457929808,-8.17156510700256,-8.698449687817913
2022_26,slope7_success,1960,0,95,-0.0012882155848125507,-8.586790172019489,-0.0031555474622528704,0.27973318159552873,12595.559282923243,0.1780336059904366,,,,,,,0.0,94.0,47.0,-9.28759457929808,-8.17156510700256,-8.701912031211016
2022_26,slope7_lm_invalid_params,1960,0,95,-0.0012882155848125507,-8.586678688472949,-0.00288382750887544,-0.0030082071392563965,-27.62339942701221,,invalid parameters from LM slope7 fit,,,,,,0.0,94.0,47.0,-9.28759457929808,-8.17156510700256,-8.701912031211016
2022_26,linear,1960,1,73,0.00024920792342496853,-7.991894811903623,,,,0.5447383998001086,linear_fit_t_mean=47.000000,,,,,,1.0,90.0,44.794520547945204,-8.69868106514276,-6.904416293824895,-8.122572159126625
2022_26,linear,1960,2,91,0.0015860017825244355,-9.003744261293413,,,,0.18675029805266496,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-9.517546394675444,-8.651801778886492,-9.016843589478423
2022_26,linear,1960,3,91,0.0034419352912670007,-9.288960823037169,,,,0.13345913123329337,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-9.81975029005181,-8.987732613297737,-9.310808094263775
2022_26,linear,1970,0,91,-0.001192814063868429,-9.74358408169897,,,,0.1901022885015485,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-10.220507528937171,-9.294037930293008,-9.74647891928921
2022_26,slope7_success,1970,0,95,-0.001192814063868429,-9.404579891481443,-0.17537423754264883,-0.0013012154147529487,1.672894518376185,0.18434209579404118,,,,,,,0.0,94.0,47.0,-10.220507528937171,-9.294037930293008,-9.750130469993207
