enrollment_date,t,calendar_week,dead0,alive0,h0,dead2,alive2,h2,dead3,alive3,h3,HR20,HR30,edge_sameweek0,edge_sameweek2,edge_sameweek3
2021-11-22,20,2022-04-11,622,4958971,0.000125437114223496,298,1832606,0.000162623188787975,51,101783,0.0005011915688531062,1.2964519296754802,3.995560420499745,0,0,0
2021-11-22,21,2022-04-18,587,4957638,0.00011841016913102199,308,1822409,0.0001690213503231933,73,101732,0.0007178292366389476,1.4274225901676532,6.062226259001984,0,0,0
2021-11-22,22,2022-04-25,575,4956169,0.00011602375897098964,262,1810085,0.00014475506032608708,73,101659,0.0007183448856219401,1.2476329125164904,6.191360217880493,0,0,0
2021-11-22,23,2022-05-02,619,4954602,0.00012494215890669258,256,1798016,0.00014238929256578207,73,101586,0.0007188612759652131,1.1396416854947984,5.753552541877096,0,0,0
2021-11-22,24,2022-05-09,567,4953092,0.00011448050144059667,266,1787492,0.00014882292840496335,65,101513,0.0006405171655860386,1.2999849453156596,5.594989168687382,0,0,0
2021-11-22,25,2022-05-16,498,4951646,0.00010057767543576592,263,1777339,0.00014798497107402188,58,101448,0.0005718849681100462,1.4713500827381192,5.686003038271464,0,0,0
2021-11-29,0,2021-11-29,1329,5258065,0.0002527865257891229,1082,4751748,0.00022773160686875434,41,136738,0.0002998884583704811,0.9008850695575853,1.1863308672577395,6,17,0
2021-11-29,1,2021-12-06,1314,5200944,0.0002526783631347791,1031,4469815,0.0002306849215569831,44,136696,0.00032193394778827993,0.9129587460321459,1.274085931989989,4,15,0
2021-11-29,2,2021-12-13,1243,5163117,0.00024077502944168646,869,4132242,0.00021031957640889418,40,136651,0.000292759331964921,0.8735107494186048,1.2159040438860156,1,19,0
2021-11-29,3,2021-12-20,1095,5126010,0.00021363925775764303,787,3811562,0.0002064983489437374,60,136606,0.0004393158458659453,0.9665749221895985,2.056344187285628,0,18,0
2021-11-29,4,2021-12-27,1032,5105508,0.0002021550677286636,678,3622359,0.00018718836505041104,36,136546,0.0002636821766127541,0.9259642469198884,1.3043560053942023,2,8,0
2021-11-29,5,2022-01-03,928,5086213,0.00018247066510255092,560,3412268,0.00016412718956132957,54,136510,0.0003956536763145258,0.8994716464100568,2.168313882629645,3,6,0
2021-11-29,6,2022-01-10,863,5053563,0.0001707851857996349,566,3012013,0.00018793185367412346,54,136456,0.00039581028010900134,1.1003990351634187,2.3175914131882944,1,6,0
2021-11-29,7,2022-01-17,751,5023887,0.00014949702044051905,513,2646658,0.00019384813740715604,51,136401,0.00037396746918889266,1.2966689024031963,2.501504498798252,0,4,0
2021-11-29,8,2022-01-24,732,5003556,0.0001463066566141942,423,2419851,0.0001748194311909976,65,136349,0.00047683150045353076,1.1948836453285283,3.259123757512412,2,2,0
2021-11-29,9,2022-01-31,873,4990332,0.00017495356410307747,488,2249895,0.0002169225368351205,65,136284,0.0004770589772058162,1.239886354686185,2.726774842521911,1,4,0
2021-11-29,10,2022-02-07,858,4981867,0.00017223942205468244,482,2140027,0.00022525617142928525,67,136219,0.0004919760279280014,1.3078084490887987,2.8563497372384887,2,3,0
2021-11-29,11,2022-02-14,827,4977014,0.00016617769537719725,436,2076297,0.00021001127683598482,73,136152,0.0005363092502303632,1.2637753602208301,3.227323913796166,0,0,0
2021-11-29,12,2022-02-21,797,4973379,0.00016026606211425482,375,2033279,0.00018444816726797202,75,136079,0.000551302373904987,1.1508872485834063,3.4399196350875556,0,0,0
2021-11-29,13,2022-02-28,773,4970451,0.00015553118104564466,353,1999998,0.00017651575448936283,70,136004,0.0005148232431369729,1.1349219706469,3.310096661491207,0,0,0
2021-11-29,14,2022-03-07,761,4968112,0.00015318863378344728,377,1978892,0.00019052879885259549,61,135934,0.0004488479032850969,1.2437528434513851,2.930033986200332,0,0,0
2021-11-29,15,2022-03-14,671,4966130,0.00013512439973527315,350,1961291,0.0001784698105205993,56,135873,0.0004122345378411823,1.3207815233240305,3.0507779398006956,0,0,0
2021-11-29,16,2022-03-21,725,4964316,0.00014605293971601917,333,1943916,0.00017131837246235407,74,135817,0.0005449992770043648,1.1729881835686444,3.7315187086548516,0,0,0
2021-11-29,17,2022-03-28,718,4962538,0.00014469449837510823,353,1927361,0.00018316876302549768,63,135743,0.00046422006337990885,1.265899982946471,3.208277222651947,0,0,0
2021-11-29,18,2022-04-04,654,4960606,0.0001318474224831808,319,1911054,0.00016693752624272415,71,135680,0.0005234270583843877,1.2661417500521834,3.9699453241200753,0,0,0
2021-11-29,19,2022-04-11,622,4958971,0.000125437114223496,309,1896550,0.00016294069495717984,82,135608,0.0006048669845911779,1.2989831276480286,4.822073501415727,0,0,0
