country,wave,search_start,search_end,segment_start,segment_end,peak_week,n_weeks,slope_deaths_per_million_per_week,intercept,r2,delta_cum_over_segment,status
Cameroon,first_wave_2020,2020-02-15,2020-10-15,2020-04-19,2020-08-02,2020-06-14,16,0.9378985294117648,1.433948529411765,0.9771636050243157,12.448,ok
Cameroon,alpha_winter_2020_21,2020-10-01,2021-05-31,2021-02-28,2021-05-30,2021-04-04,14,2.2465076923076923,19.319628571428574,0.9838896493251401,26.200999999999997,ok
Cameroon,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-06-06,2021-05-02,6,1.2397428571428577,41.37080952380953,0.9217778704345775,5.7180000000000035,ok
Cameroon,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-02-13,2021-11-21,13,0.366461538461539,65.00961538461539,0.9678129414123331,4.596000000000004,ok
Canada,first_wave_2020,2020-02-15,2020-10-15,2020-04-19,2020-06-28,2020-05-10,11,19.086336363636363,51.57531818181822,0.9537343918124079,184.667,ok
Canada,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-11-08,2021-03-21,2021-01-31,20,18.655039849624057,258.0411714285715,0.9793684493456536,310.19100000000003,ok
Canada,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-07-18,2021-05-02,12,5.266867132867132,624.1773974358975,0.9586271505882609,57.46900000000005,ok
Canada,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-01-16,2022-04-24,2022-02-06,15,13.093828571428569,830.8360000000002,0.9310362326131504,200.0709999999999,ok
Cape Verde,first_wave_2020,2020-02-15,2020-10-15,2020-06-28,2020-10-11,2020-10-11,16,6.971670588235294,17.938470588235297,0.9555197421434327,119.28800000000001,ok
Cape Verde,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-05-30,2021-05-16,35,9.388796638655462,116.1821142857143,0.9065975867760809,386.724,ok
Cape Verde,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-07-04,2021-05-02,10,14.121048484848485,438.8117818181819,0.9542853979519599,128.909,ok
Cape Verde,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-01-09,2022-02-13,2022-01-23,6,13.907771428571428,708.216238095238,0.9082081963724074,71.18799999999999,ok
Cayman Islands,first_wave_2020,2020-02-15,2020-10-15,,,,,,,,,no_segment
Cayman Islands,alpha_winter_2020_21,2020-10-01,2021-05-31,,,,,,,,,no_segment
Cayman Islands,delta_2021,2021-05-01,2021-11-30,,,,,,,,,no_segment
Cayman Islands,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-04-24,2022-03-27,23,14.199301383399211,66.6362065217391,0.9733279164822184,321.189,ok
Central African Republic,first_wave_2020,2020-02-15,2020-10-15,2020-06-21,2020-07-19,2020-07-05,5,1.4121000000000001,6.0812,0.7587301015582938,6.276000000000001,ok
Central African Republic,alpha_winter_2020_21,2020-10-01,2021-05-31,2021-03-28,2021-05-30,2021-05-09,10,0.6645636363636364,13.937563636363636,0.9411717650164282,5.1,ok
Central African Republic,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-05-30,2021-05-02,5,0.31379999999999947,18.085600000000003,0.8764826349155934,1.3729999999999976,ok
Central African Republic,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-01-02,2022-02-27,2022-01-16,9,0.16993333333333313,20.962488888888892,0.9387607543142471,1.3729999999999976,ok
Chad,first_wave_2020,2020-02-15,2020-10-15,2020-05-03,2020-06-07,2020-05-17,6,0.5262285714285713,1.5380952380952386,0.8988378847083754,2.763,ok
Chad,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-04-25,2021-03-28,30,0.15561646273637372,4.341427956989248,0.9118176534376533,4.443,ok
Chad,delta_2021,2021-05-01,2021-11-30,,,,,,,,,no_segment
Chad,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-12-05,2022-02-13,2021-12-05,11,0.05767272727272719,9.720818181818183,0.8878419219545669,0.48799999999999955,ok
Chile,first_wave_2020,2020-02-15,2020-10-15,2020-06-07,2020-10-11,2020-06-28,19,30.815528070175436,183.5282473684211,0.9330035725680429,599.958,ok
Chile,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-05-30,2021-04-18,35,23.94619383753501,589.9102476190478,0.9654342893314043,824.834,ok
Chile,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-09-12,2021-07-04,20,31.21551729323308,1376.3899857142858,0.9753576317672847,549.48,ok
Chile,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-03-27,2022-04-24,2022-03-27,5,13.788299999999982,2883.3788,0.9692484421353539,55.08199999999988,ok
